Sample ID	Length	Serotype
639] [gbkey=CDS]	639	O
lcl|HQ439237.1_cds_ADZ98743.1_1 [protein=VP1] [protein_id=ADZ98743.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|HQ439236.1_cds_ADZ98742.1_1 [protein=VP1] [protein_id=ADZ98742.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|HQ439235.1_cds_ADZ98741.1_1 [protein=VP1] [protein_id=ADZ98741.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|HQ439234.1_cds_ADZ98740.1_1 [protein=VP1] [protein_id=ADZ98740.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|HQ439233.1_cds_ADZ98739.1_1 [protein=VP1] [protein_id=ADZ98739.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|HQ439232.1_cds_ADZ98738.1_1 [protein=VP1] [protein_id=ADZ98738.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|HQ439231.1_cds_ADZ98737.1_1 [protein=VP1] [protein_id=ADZ98737.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|HQ439230.1_cds_ADZ98736.1_1 [protein=VP1] [protein_id=ADZ98736.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|DQ165035.1_cds_ABA46704.1_1 [protein=VP1 protein] [protein_id=ABA46704.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|EF457988.1_cds_ABR13028.1_1 [gene=1D] [protein=1D protein] [protein_id=ABR13028.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|EF457987.1_cds_ABR13027.1_1 [gene=1D] [protein=1D protein] [protein_id=ABR13027.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|EF457986.1_cds_ABR13026.1_1 [gene=1D] [protein=1D protein] [protein_id=ABR13026.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|EF457985.1_cds_ABR13025.1_1 [gene=1D] [protein=1D protein] [protein_id=ABR13025.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|EF457984.1_cds_ABR13024.1_1 [gene=1D] [protein=1D protein] [protein_id=ABR13024.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|EF457983.1_cds_ABR13023.1_1 [gene=1D] [protein=1D protein] [protein_id=ABR13023.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|EF457982.1_cds_ABR13022.1_1 [gene=1D] [protein=1D protein] [protein_id=ABR13022.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|EF457981.1_cds_ABR13021.1_1 [gene=1D] [protein=1D protein] [protein_id=ABR13021.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|EF457980.1_cds_ABR13020.1_1 [gene=1D] [protein=1D protein] [protein_id=ABR13020.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ446511.1_cds_ADZ98835.1_1 [protein=VP1] [protein_id=ADZ98835.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439309.1_cds_ADZ98834.1_1 [protein=VP1] [protein_id=ADZ98834.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439308.1_cds_ADZ98833.1_1 [protein=VP1] [protein_id=ADZ98833.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439307.1_cds_ADZ98832.1_1 [protein=VP1] [protein_id=ADZ98832.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439306.1_cds_ADZ98831.1_1 [protein=VP1] [protein_id=ADZ98831.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439305.1_cds_ADZ98830.1_1 [protein=VP1] [protein_id=ADZ98830.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439304.1_cds_ADZ98829.1_1 [protein=VP1] [protein_id=ADZ98829.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439303.1_cds_ADZ98828.1_1 [protein=VP1] [protein_id=ADZ98828.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439302.1_cds_ADZ98827.1_1 [protein=VP1] [protein_id=ADZ98827.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439301.1_cds_ADZ98826.1_1 [protein=VP1] [protein_id=ADZ98826.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439300.1_cds_ADZ98825.1_1 [protein=VP1] [protein_id=ADZ98825.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439299.1_cds_ADZ98824.1_1 [protein=VP1] [protein_id=ADZ98824.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439298.1_cds_ADZ98823.1_1 [protein=VP1] [protein_id=ADZ98823.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439297.1_cds_ADZ98822.1_1 [protein=VP1] [protein_id=ADZ98822.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439296.1_cds_ADZ98821.1_1 [protein=VP1] [protein_id=ADZ98821.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439295.1_cds_ADZ98820.1_1 [protein=VP1] [protein_id=ADZ98820.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439294.1_cds_ADZ98819.1_1 [protein=VP1] [protein_id=ADZ98819.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439290.1_cds_ADZ98815.1_1 [protein=VP1] [protein_id=ADZ98815.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439289.1_cds_ADZ98814.1_1 [protein=VP1] [protein_id=ADZ98814.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439288.1_cds_ADZ98813.1_1 [protein=VP1] [protein_id=ADZ98813.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439287.1_cds_ADZ98812.1_1 [protein=VP1] [protein_id=ADZ98812.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439286.1_cds_ADZ98811.1_1 [protein=VP1] [protein_id=ADZ98811.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439285.1_cds_ADZ98810.1_1 [protein=VP1] [protein_id=ADZ98810.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439284.1_cds_ADZ98809.1_1 [protein=VP1] [protein_id=ADZ98809.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439283.1_cds_ADZ98808.1_1 [protein=VP1] [protein_id=ADZ98808.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439282.1_cds_ADZ98807.1_1 [protein=VP1] [protein_id=ADZ98807.1] [location=<1..>639] [gbkey=CDS]	639	A
